time,height,v_z,pitch,power_kw,fuel_kg,weight_kg
63.0,0.0,0.0,8.708646004836144,355.9854274739269,319.0513601645918,2243.481961538637
64.0,0.0,0.0,8.70848936131841,355.97575576644067,318.99905150492503,2243.42965287897
65.0,0.0,0.0,8.708332721520973,355.9660844507305,318.9467442664044,2243.377345640449
66.0,0.0,0.0,8.70817608544275,355.9564135266047,318.89443844897227,2243.325039823017
67.0,0.0,0.0,8.70801945308263,355.94674299398326,318.8421340525712,2243.272735426616
68.0,0.0,0.0,8.707862824442369,355.93707285296443,318.7898310771437,2243.2204324511886
69.0,0.0,0.0,8.707706199519894,355.9274031034078,318.7375295226321,2243.1681308966768
70.0,0.0,0.0,8.70754957831604,355.91773374535467,318.68522938897894,2243.115830763024
71.0,0.0,0.0,8.707392960830253,355.90806477887264,318.6329306761267,2243.0635320501715
72.0,0.0,0.0,8.707236347063214,355.89839620387966,318.58063338401786,2243.011234758063
73.0,0.0,0.0,8.707079737013744,355.8887280202917,318.5283375125949,2242.9589388866398
74.0,0.0,0.0,8.706923130682512,355.87906022813894,318.4760430618002,2242.9066444358455
75.0,0.0,0.0,8.706766528067982,355.86939282731504,318.4237500315764,2242.8543514056214
76.0,0.0,0.0,8.706609929171771,355.8597258180228,318.37145842186595,2242.8020597959107
77.0,0.0,0.0,8.706453333993766,355.85005920001765,318.3191682326113,2242.749769606656
78.0,0.0,0.0,8.706296742532043,355.8403929733952,318.2668794637549,2242.6974808377995
79.0,0.0,0.0,8.70614015478723,355.83072713807036,318.2145921152393,2242.6451934892843
80.0,0.0,0.0,8.705983570760543,355.8210616941078,318.16230618700706,2242.592907561052
81.0,0.0,0.0,8.705826990449498,355.8113966413418,318.11002167900057,2242.5406230530457
82.0,0.0,0.0,8.70567041385612,355.80173197988756,318.05773859116243,2242.4883399652076
83.0,0.0,0.0,8.705513840978666,355.79206770973855,318.00545692343513,2242.43605829748
84.0,0.0,0.0,8.705357271817606,355.7824038307999,317.9531766757611,2242.383778049806
85.0,0.0,0.0,8.70520070637316,355.7727403430744,317.90089784808293,2242.331499222128
86.0,0.0,0.0,8.705044144644791,355.76307724651735,317.8486204403431,2242.279221814388
87.0,0.0,0.0,8.704887586632804,355.75341454113686,317.79634445248416,2242.226945826529
88.0,0.0,0.0,8.704731032335578,355.74375222693436,317.74406988444855,2242.1746712584936
89.0,0.0,0.0,8.70457448175543,355.7340903039294,317.6917967361789,2242.122398110224
90.0,0.0,0.0,8.70441793488975,355.72442877183585,317.6395250076177,2242.0701263816627
91.0,0.0,0.0,8.704261391739271,355.7147676309143,317.5872546987075,2242.0178560727527
92.0,0.0,0.0,8.704104852305193,355.7051068811154,317.5349858093908,2241.9655871834357
93.0,0.0,0.0,8.703948316585384,355.69544652229547,317.48271833961013,2241.9133197136553
94.0,0.0,0.0,8.703791784580696,355.6857865546098,317.43045228930805,2241.8610536633532
95.0,0.0,0.0,8.703635256290612,355.6761269779018,317.3781876584272,2241.8087890324723
96.0,0.0,0.0,8.703478731715101,355.66646779215847,317.32592444690994,2241.756525820955
97.0,0.0,0.0,8.703322210853926,355.6568089973543,317.27366265469897,2241.704264028744
98.0,0.0,0.0,8.703165693707305,355.64715059349163,317.22140228173674,2241.6520036557818
99.0,0.0,0.0,8.703009180276023,355.6374925806084,317.1691433279658,2241.599744702011
100.0,0.0,0.0,8.702852670557643,355.6278349586551,317.11688579332883,2241.547487167374
101.0,0.0,0.0,8.702696164553124,355.61817772756734,317.0646296777683,2241.495231051814
101.0,1.0,1.0,8.932877137744423,369.86936047997216,317.01027943007557,2241.440880804121
102.0,2.0,1.0,8.933353310261877,369.86455841063946,316.95592988802025,2241.3865312620655
103.0,3.0,1.0,8.933829524183116,369.8597572654921,316.9015810514665,2241.332182425512
104.0,4.0,1.0,8.934305779511503,369.8549570442088,316.8472329202786,2241.2778342943243
105.0,5.0,1.0,8.934782076252858,369.8501577468607,316.7928854943208,2241.2234868683663
106.0,6.0,1.0,8.935258414409931,369.8453593733206,316.7385387734573,2241.169140147503
107.0,7.0,1.0,8.935734793987493,369.84056192370764,316.6841927575524,2241.114794131598
108.0,8.0,1.0,8.936211214990582,369.8357653979251,316.6298474464703,2241.0604488205163
109.0,9.0,1.0,8.936687677423704,369.8309697959588,316.57550284007533,2241.006104214121
110.0,10.0,1.0,8.937164181290461,369.8261751178531,316.5211589382316,2240.951760312277
111.0,11.0,1.0,8.93764072659495,369.82138136333384,316.4668157408035,2240.8974171148493
112.0,12.0,1.0,8.938117313342206,369.816588532654,316.4124732476552,2240.8430746217014
113.0,13.0,1.0,8.938593941535842,369.8117966256252,316.35813145865103,2240.788732832697
114.0,14.0,1.0,8.939070611180778,369.80700564225924,316.30379037365526,2240.734391747701
115.0,15.0,1.0,8.939547322281392,369.8022155825336,316.24944999253216,2240.680051366578
116.0,16.0,1.0,8.940024074841856,369.7974264464125,316.195110315146,2240.625711689192
117.0,17.0,1.0,8.940500868867149,369.79263823402806,316.1407713413611,2240.5713727154066
118.0,18.0,1.0,8.940977704359538,369.7878509449887,316.08643307104165,2240.5170344450876
119.0,19.0,1.0,8.941454581326179,369.78306457968307,316.032095504052,2240.4626968780976
120.0,20.0,1.0,8.941931499769565,369.7782791377348,315.9777586402565,2240.408360014302
121.0,21.0,1.0,8.942408459694056,369.77349461935154,315.9234224795194,2240.354023853565
122.0,22.0,1.0,8.94288546110494,369.76871102433677,315.86908702170496,2240.299688395751
123.0,23.0,1.0,8.94336250400646,369.7639283527755,315.81475226667754,2240.2453536407234
124.0,24.0,1.0,8.943839588401044,369.7591466046346,315.76041821430147,2240.191019588347
125.0,25.0,1.0,8.944316714296393,369.75436577987284,315.70608486444104,2240.136686238487
126.0,26.0,1.0,8.944793881693473,369.74958587836386,315.6517522169606,2240.0823535910067
127.0,27.0,1.0,8.945271090599975,369.7448069002979,315.5974202717244,2240.0280216457704
128.0,28.0,1.0,8.945748341016373,369.74002884539993,315.5430890285968,2239.9736904026427
129.0,29.0,1.0,8.946225632950865,369.73525171389275,315.4887584874422,2239.9193598614884
130.0,30.0,1.0,8.946702966405267,369.7304755054726,315.4344286481249,2239.865030022171
131.0,31.0,1.0,8.947180341385048,369.725700220302,315.3800995105091,2239.8107008845554
132.0,32.0,1.0,8.947657757893552,369.7209258584072,315.32577107445934,2239.7563724485058
133.0,33.0,1.0,8.948135215935991,369.7161524194709,315.27144333983995,2239.702044713886
134.0,34.0,1.0,8.948612715517083,369.7113799038391,315.21711630651515,2239.6477176805615
135.0,35.0,1.0,8.94909025664037,369.70660831120296,315.16278997434944,2239.5933913483955
136.0,36.0,1.0,8.949567839310115,369.7018376416472,315.1084643432071,2239.539065717253
137.0,37.0,1.0,8.950045463532023,369.6970678952343,315.0541394129525,2239.4847407869984
138.0,38.0,1.0,8.95052312930866,369.69229907159195,314.99981518345,2239.4304165574963
139.0,39.0,1.0,8.951000836644845,369.6875311711884,314.945491654564,2239.3760930286103
140.0,40.0,1.0,8.951478585545715,369.68276419358625,314.8911688261589,2239.321770200205
141.0,41.0,1.0,8.951956376014257,369.67799813890286,314.836846698099,2239.267448072145
142.0,42.0,1.0,8.952434208057154,369.67323300714787,314.7825252702488,2239.213126644295
143.0,43.0,1.0,8.952912081675949,369.6684687983466,314.7282045424726,2239.1588059165183
144.0,44.0,1.0,8.953389996877297,369.6637055122745,314.67388451463484,2239.1044858886808
145.0,45.0,1.0,8.953867953664119,369.6589431490457,314.6195651865999,2239.0501665606457
146.0,46.0,1.0,8.954345952041804,369.6541817087012,314.56524655823216,2238.9958479322777
147.0,47.0,1.0,8.95482399201289,369.64942119098396,314.510928629396,2238.941530003442
148.0,48.0,1.0,8.95530207358509,369.644661596083,314.45661139995593,2238.887212774002
149.0,49.0,1.0,8.955780196758763,369.63990292383295,314.4022948697763,2238.8328962438222
150.0,50.0,1.0,8.956258361540947,369.63514517426495,314.3479790387215,2238.7785804127675
151.0,51.0,1.0,8.956736567935973,369.63038834746754,314.293663906656,2238.724265280702
152.0,52.0,1.0,8.95721481594709,369.62563244322865,314.23934947344424,2238.6699508474903
153.0,53.0,1.0,8.957693105578754,369.62087746152906,314.18503573895055,2238.6156371129964
154.0,54.0,1.0,8.958171436835986,369.61612340250247,314.13072270303945,2238.5613240770854
155.0,55.0,1.0,8.958649809722322,369.61137026595384,314.0764103655754,2238.5070117396217
156.0,56.0,1.0,8.95912822424316,369.6066180519251,314.02209872642277,2238.452700100469
157.0,57.0,1.0,8.959606680401983,369.60186676033504,313.96778778544603,2238.398389159492
158.0,58.0,1.0,8.96008517820299,369.59711639126283,313.9134775425096,2238.344078916556
159.0,59.0,1.0,8.960563717652454,369.5923669445752,313.85916799747804,2238.2897693715245
160.0,60.0,1.0,8.961042298752165,369.58761842031277,313.80485915021575,2238.235460524262
161.0,61.0,1.0,8.961520921508194,369.58287081844475,313.7505510005871,2238.1811523746337
162.0,62.0,1.0,8.96199958592317,369.57812413894953,313.69624354845666,2238.126844922503
163.0,63.0,1.0,8.962478292003928,369.5733783817294,313.6419367936889,2238.0725381677353
164.0,64.0,1.0,8.962957039753135,369.56863354676614,313.5876307361483,2238.0182321101943
165.0,65.0,1.0,8.963435829175513,369.56388963417226,313.5333253756993,2237.9639267497455
166.0,66.0,1.0,8.963914660275911,369.5591466438389,313.47902071220636,2237.9096220862525
167.0,67.0,1.0,8.964393533057716,369.55440457556165,313.424716745534,2237.8553181195803
168.0,68.0,1.0,8.964872447527098,369.5496634296624,313.3704134755467,2237.801014849593
169.0,69.0,1.0,8.965351403686206,369.54492320585774,313.3161109021089,2237.746712276155
170.0,70.0,1.0,8.965830401539685,369.54018390402484,313.26180902508526,2237.6924103991314
171.0,71.0,1.0,8.966309441093804,369.53544552449176,313.2075078443401,2237.638109218386
172.0,72.0,1.0,8.966788522351083,369.5307080668829,313.1532073597381,2237.5838087337843
173.0,73.0,1.0,8.967267645316516,369.5259715314449,313.09890757114357,2237.5295089451897
174.0,74.0,1.0,8.967746809995225,369.52123591796925,313.0446084784212,2237.4752098524673
175.0,75.0,1.0,8.968226016390803,369.51650122649636,312.99031008143544,2237.4209114554815
176.0,76.0,1.0,8.968705264506887,369.51176745695386,312.9360123800508,2237.366613754097
177.0,77.0,1.0,8.969184554349864,369.50703460944595,312.8817153741318,2237.312316748178
178.0,78.0,1.0,8.969663885922273,369.50230268371433,312.827419063543,2237.258020437589
179.0,79.0,1.0,8.97014325922829,369.49757167995205,312.7731234481489,2237.2037248221945
180.0,80.0,1.0,8.970622674274091,369.49284159801846,312.7188285278141,2237.14942990186
181.0,81.0,1.0,8.971102131062882,369.4881124379291,312.66453430240307,2237.095135676449
182.0,82.0,1.0,8.971581629600001,369.4833841996047,312.6102407717804,2237.040842145826
183.0,83.0,1.0,8.972061169887732,369.47865688311714,312.5559479358106,2236.986549309856
